value,itemidx,itemopt,img,label,price
687,687,138,/CashShop/items/Thunder_Disc_lvl_1_2_3.webp,Thunder Disc(Lvl 1) 10pcs,5
687,687,266,/CashShop/items/Thunder_Disc_lvl_1_2_3.webp,Thunder Disc(Lvl 2) 10pcs,5
687,687,394,/CashShop/items/Thunder_Disc_lvl_1_2_3.webp,Thunder Disc(Lvl 3) 10pcs,5
687,687,522,/CashShop/items/Thunder_Disc_lvl_1_2_3.webp,Thunder Disc(Lvl 4) 10pcs,5
688,688,138,/CashShop/items/Bloody_Disc_lvl_1_2_3.webp,Bloody Disc(Lvl 1) 10pcs,5
688,688,266,/CashShop/items/Bloody_Disc_lvl_1_2_3.webp,Bloody Disc(Lvl 2) 10pcs,5
688,688,394,/CashShop/items/Bloody_Disc_lvl_1_2_3.webp,Bloody Disc(Lvl 3) 10pcs,5
688,688,522,/CashShop/items/Bloody_Disc_lvl_1_2_3.webp,Bloody Disc(Lvl 4) 10pcs,5
690,690,138,/CashShop/items/Aqua_Disc_lvl_1_2_3.webp,Aqua Disc(Lvl 1) 10pcs,5
690,690,266,/CashShop/items/Aqua_Disc_lvl_1_2_3.webp,Aqua Disc(Lvl 2) 10pcs,5
690,690,394,/CashShop/items/Aqua_Disc_lvl_1_2_3.webp,Aqua Disc(Lvl 3) 10pcs,5
690,690,522,/CashShop/items/Aqua_Disc_lvl_1_2_3.webp,Aqua Disc(Lvl 4) 10pcs,5
689,689,138,/CashShop/items/Earth_Disc_lvl_1_2_3.webp,Earth Disc(Lvl 1) 10pcs,5
689,689,266,/CashShop/items/Earth_Disc_lvl_1_2_3.webp,Earth Disc(Lvl 2) 10pcs,5
689,689,394,/CashShop/items/Earth_Disc_lvl_1_2_3.webp,Earth Disc(Lvl 3) 10pcs,5
689,689,522,/CashShop/items/Earth_Disc_lvl_1_2_3.webp,Earth Disc(Lvl 4) 10pcs,5
691,691,138,/CashShop/items/soul_disc_1_2_3.webp,Soul Disc(Lvl 1) 10pcs,5
691,691,266,/CashShop/items/soul_disc_1_2_3.webp,Soul Disc(Lvl 2) 10pcs,5
691,691,394,/CashShop/items/soul_disc_1_2_3.webp,Soul Disc(Lvl 3) 10pcs,5
691,691,522,/CashShop/items/soul_disc_1_2_3.webp,Soul Disc(Lvl 4) 10pcs,5
686,686,138,/CashShop/items/Air_Disc_lvl_1_2_3.webp,Air Disc(Lvl 1) 10pcs,5
686,686,266,/CashShop/items/Air_Disc_lvl_1_2_3.webp,Air Disc(Lvl 2) 10pcs,5
686,686,394,/CashShop/items/Air_Disc_lvl_1_2_3.webp,Air Disc(Lvl 3) 10pcs,5
686,686,522,/CashShop/items/Air_Disc_lvl_1_2_3.webp,Air Disc(Lvl 4) 10pcs,5
685,685,138,/CashShop/items/Holy_disc_lvl_1_2_3.webp,Holy Disc(Lvl 1) 10pcs,5
685,685,266,/CashShop/items/Holy_disc_lvl_1_2_3.webp,Holy Disc(Lvl 2) 10pcs,5
685,685,394,/CashShop/items/Holy_disc_lvl_1_2_3.webp,Holy Disc(Lvl 3) 10pcs,5
685,685,522,/CashShop/items/Holy_disc_lvl_1_2_3.webp,Holy Disc(Lvl 4) 10pcs,5
684,684,138,/CashShop/items/Dark_Disc_lvl_1_2_3.webp,Dark Disc(Lvl 1) 10pcs,5
684,684,266,/CashShop/items/Dark_Disc_lvl_1_2_3.webp,Dark Disc(Lvl 2) 10pcs,5
684,684,394,/CashShop/items/Dark_Disc_lvl_1_2_3.webp,Dark Disc(Lvl 3) 10pcs,5
684,684,522,/CashShop/items/Dark_Disc_lvl_1_2_3.webp,Dark Disc(Lvl 4) 10pcs,5
683,683,138,/CashShop/items/Flame_Disc_lvl_1_2_3.webp,Flame Disc(Lvl 1) 10pcs,5
683,683,266,/CashShop/items/Flame_Disc_lvl_1_2_3.webp,Flame Disc(Lvl 2) 10pcs,5
683,683,394,/CashShop/items/Flame_Disc_lvl_1_2_3.webp,Flame Disc(Lvl 3) 10pcs,5
683,683,522,/CashShop/items/Flame_Disc_lvl_1_2_3.webp,Flame Disc(Lvl 4) 10pcs,5
607,607,138,/CashShop/items/Pherystin_Quartz_Core.webp,Quartz Core(Pherystin) 10pcs,5
608,608,138,/CashShop/items/Aqua_Quartz_Core.webp,Quartz Core(Aqua) 10pcs,5
609,609,138,/CashShop/items/Lapiz_quartz_core.webp,Quartz Core(Lapis) 10pcs,5
610,610,138,/CashShop/items/Topaz_quartz_core.webp,Quartz Core(Topaz) 10pcs,5
618,618,138,/CashShop/items/Titanium_Material_Core.webp,Material Core(Titanium) 10pcs,5
619,619,138,/CashShop/items/Shadowtitanium_material_core.webp,Material Core(Shadowtitanium) 10pcs,5
620,620,138,/CashShop/items/Osmium_Material_Core.webp,Material Core(Osmium) 10pcs,5
621,621,138,/CashShop/items/Red_Osmium_material_core.webp,Material Core(Redosmium) 10pcs,5
628,628,255,/CashShop/items/Upgrade_core_piece.webp,Upgrade Core(Piece) 127pcs,5
629,629,255,/CashShop/items/Force_core_piece.webp,Force Core(Piece) 127pcs,5
676,676,134,/CashShop/items/Circuit_Jewel_lvl_1.webp,Circuit Jewel(LV 1) 6pcs,5
677,677,134,/CashShop/items/Circuit_Jewel_lvl_2.webp,Circuit Jewel(LV 2) 6pcs,5
678,678,134,/CashShop/items/Circuit_Jewel_lvl_3.webp,Circuit Jewel(LV 3) 6pcs,5
679,679,134,/CashShop/items/Circuit_Jewel_lvl_4.webp,Circuit Jewel(LV 4) 6pcs,5
680,680,134,/CashShop/items/Circuit_Jewel_lvl_5.webp,Circuit Jewel(LV 5) 6pcs,5
681,681,134,/CashShop/items/Circuit_Jewel_lvl_6.webp,Circuit Jewel(LV 6) 6pcs,5
692,692,7818,/CashShop/items/Sharp_cartridge.webp,Shape Cartridge Sword(Lv 1) 10pcs,4
692,692,8458,/CashShop/items/Sharp_cartridge.webp,Shape Cartridge Sword(Lv 2) 10pcs,5
692,692,9098,/CashShop/items/Sharp_cartridge.webp,Shape Cartridge Sword(Lv 3) 10pcs,5
692,692,9738,/CashShop/items/Sharp_cartridge.webp,Shape Cartridge Sword(Lv 4) 10pcs,5
24745,24745,184,/CashShop/items/Aramid_Battleset.webp,Aramid Battle Gloves +3 (SSA +3%),1
24835,24835,184,/CashShop/items/Aramid_Battleset.webp,Aramid Battle Helm +3 (SSA +3%),1
24790,24790,184,/CashShop/items/Aramid_Battleset.webp,Aramid Battle Boots +3 (SSA +3%),1
24700,24700,184,/CashShop/items/Aramid_Battleset.webp,Aramid Battle Suit +3 (SSA +3%),1
24760,24760,184,/CashShop/items/MT03.webp,Aramid Martial Gloves +3 (SSA +3%),1
24850,24850,184,/CashShop/items/MT03.webp,Aramid Martial helm +3 (SSA +3%),1
24805,24805,184,/CashShop/items/MT03.webp,Aramid Martial Boots +3 (SSA +3%),1
24715,24715,184,/CashShop/items/MT03.webp,Aramid Martial Suit +3 (SSA +3%),1
24730,24730,184,/CashShop/items/AM03.webp,S.Steel Armor Gloves +3 (SSA +3%),1
24820,24820,184,/CashShop/items/AM03.webp,S.Steel Armor Helm +3 (SSA +3%),1
24775,24775,184,/CashShop/items/AM03.webp,S.Steel Armor Boots +3 (SSA +3%),1
24685,24685,184,/CashShop/items/AM03.webp,S.Steel Armor Suit +3 (SSA +3%),1
24625,24625,184,/CashShop/items/Shadowsteel_Katana.webp,S.Steel Katana +3 (SSA +3%),1
24640,24640,184,/CashShop/items/Shadowsteel_Blade.webp,S.Steel Blade +3 (SSA +3%),1
24670,24670,184,/CashShop/items/Shadowsteel_Great_Sword.webp,S.Steel Great Sword +3 (SSA +3%),1
24655,24655,184,/CashShop/items/Shadowsteel_Daikatana.webp,S.Steel Daikatana +3 (SSA +3%),1
24595,24595,184,/CashShop/items/Citrine_Orb.webp,Citrine Orb +3 (SSA +3%),1
24610,24610,184,/CashShop/items/Citrine_Crystal.webp,Citrine Crystal +3 (SSA +3%),1
